trade_id,entry_time,exit_time,direction,confirmation,confluence_count,msb_type,harmonic_pattern,harmonic_tf,confidence,fvg1_quality,fvg1_gap_size,fvg1_gap_atr,stop_price,risk_fraction,entry_price,sl,tp,risk_pts,risk_pct,risk_dollar,exit_price,result,pnl_dollar,equity_after,rr
1,2026-04-06 06:50:00,2026-04-06 09:30:00,bull,EMA,1,mitigation,,,49.8400,49.0600,4.0000,0.1231,4669.3000,0.0050,4688.2000,4666.9700,4730.6700,21.2400,0.4529,50.0000,4730.6700,WIN,99.9800,10099.9800,2.0000
2,2026-04-06 10:40:00,2026-04-07 01:00:00,bull,EMA,1,mitigation,,,39.2600,32.1800,2.7000,0.0922,4670.3000,0.0050,4722.0000,4667.9600,4830.0700,54.0400,1.1443,50.5000,4667.9600,LOSS,-50.5000,10049.4800,2.0000
3,2026-04-07 01:00:00,2026-04-07 01:05:00,bull,EMA+PRZ,1,mitigation,Gartley,5m,67.9500,94.5100,0.6800,0.0000,4674.6000,0.0050,4688.5000,4672.2600,4720.9700,16.2400,0.3463,50.2500,4672.2600,LOSS,-50.2500,9999.2300,2.0000
4,2026-04-07 02:25:00,2026-04-07 02:45:00,bull,RSI+PRZ,1,mitigation,Butterfly,15m,50.5800,87.5400,20.6400,0.0000,4651.6000,0.0050,4659.2000,4649.2700,4679.0500,9.9300,0.2130,50.0000,4679.0500,WIN,99.9500,10099.1800,2.0000
5,2026-04-07 02:45:00,2026-04-07 05:30:00,bull,RSI+PRZ,1,mitigation,Bat,5m,48.6300,82.6500,21.8800,0.0000,4651.6000,0.0050,4676.8000,4649.2700,4731.8500,27.5300,0.5886,50.5000,4649.2700,LOSS,-50.5000,10048.6800,2.0000
6,2026-04-07 11:40:00,2026-04-07 14:00:00,bull,EMA+PRZ,1,mitigation,Gartley,5m,61.7400,97.7300,3.4400,0.0000,4653.9000,0.0050,4688.4000,4651.5700,4762.0500,36.8300,0.7855,50.2400,4651.5700,LOSS,-50.2400,9998.4400,2.0000
7,2026-04-07 15:55:00,2026-04-07 22:30:00,bull,EMA+PRZ,1,mitigation,Gartley,5m,53.4800,93.9500,3.9100,0.0000,4631.9000,0.0050,4681.8000,4629.5800,4786.2300,52.2200,1.1153,49.9900,4786.2300,WIN,99.9700,10098.4100,2.0000
8,2026-04-08 02:50:00,2026-04-08 18:35:00,bull,EMA,1,mitigation,,,56.8700,96.7400,84.6000,1.9918,4740.5000,0.0050,4833.3000,4738.1300,5023.6400,95.1700,1.9690,50.4900,4738.1300,LOSS,-50.4900,10047.9200,2.0000
9,2026-04-09 08:35:00,2026-04-09 15:20:00,bull,EMA+PRZ,1,mitigation,Bat,15m,59.1100,82.3800,76.6400,0.0000,4727.2000,0.0050,4753.2000,4724.8400,4809.9300,28.3600,0.5967,50.2400,4809.9300,WIN,100.5000,10148.4100,2.0000
10,2026-04-10 03:30:00,2026-04-10 08:45:00,bull,EMA,1,mitigation,,,53.8600,36.9700,4.4000,0.2089,4760.4000,0.0050,4785.8000,4758.0200,4841.3600,27.7800,0.5805,50.7400,4758.0200,LOSS,-50.7400,10097.6700,2.0000
11,2026-04-10 09:15:00,2026-04-12 22:10:00,bull,EMA+PRZ,1,breaker,Bat,5m,76.3500,79.8500,9.7400,0.0000,4752.7000,0.0050,4781.7000,4750.3200,4844.4500,31.3800,0.6562,50.4900,4750.3200,LOSS,-50.4900,10047.1800,2.0000
12,2026-04-13 05:55:00,2026-04-13 11:40:00,bull,EMA,1,mitigation,,,63.7600,61.5400,11.5000,0.3872,4729.2000,0.0050,4751.5000,4726.8400,4800.8300,24.6600,0.5191,50.2400,4726.8400,LOSS,-50.2400,9996.9400,2.0000
13,2026-04-13 18:30:00,2026-04-14 07:00:00,bull,EMA,1,mitigation,,,50.0900,37.1400,5.3000,0.2188,4731.5000,0.0050,4756.1000,4729.1300,4810.0300,26.9700,0.5670,49.9800,4810.0300,WIN,99.9400,10096.8900,2.0000
14,2026-04-14 11:05:00,2026-04-14 17:05:00,bull,EMA+PRZ,1,mitigation,Bat,15m,65.4700,83.1300,7.1600,0.0000,4773.3000,0.0050,4798.9000,4770.9100,4854.8700,27.9900,0.5832,50.4800,4854.8700,WIN,100.9400,10197.8300,2.0000
15,2026-04-15 01:05:00,2026-04-15 01:10:00,bull,EMA,1,mitigation,,,55.0900,70.2300,11.2000,0.5058,4863.0000,0.0050,4865.0000,4860.5700,4873.8600,4.4300,0.0911,50.9900,4873.8600,WIN,101.9800,10299.8100,2.0000
16,2026-04-15 06:45:00,2026-04-15 06:50:00,bull,RSI+PRZ,1,mitigation,Butterfly,5m,65.9600,84.2100,9.0000,0.0000,4844.5000,0.0050,4843.5000,4842.0800,4846.3400,1.4200,0.0294,51.5000,4842.0800,LOSS,-51.5000,10248.3100,2.0000
17,2026-04-15 10:30:00,2026-04-15 10:45:00,bull,RSI,1,mitigation,,,58.0000,77.9100,16.5000,0.7310,4815.2000,0.0050,4817.0000,4812.7900,4825.4100,4.2100,0.0873,51.2400,4825.4100,WIN,102.3600,10350.6700,2.0000
18,2026-04-16 10:55:00,2026-04-16 13:50:00,bull,EMA,1,mitigation,,,73.8600,72.1400,9.8000,0.5745,4827.7000,0.0050,4838.7000,4825.2900,4865.5300,13.4100,0.2772,51.7500,4825.2900,LOSS,-51.7500,10298.9200,2.0000
19,2026-04-17 04:30:00,2026-04-17 13:10:00,bull,EMA+PRZ,1,breaker,DeepCrab,15m,61.3800,98.0700,6.3300,0.0000,4785.9000,0.0050,4818.2000,4783.5100,4887.5900,34.6900,0.7200,51.4900,4887.5900,WIN,102.9900,10401.9100,2.0000
20,2026-04-17 16:05:00,2026-04-17 19:55:00,bull,EMA,1,mitigation,,,42.6500,61.0600,12.6000,0.4829,4877.3000,0.0050,4894.0000,4874.8600,4932.2800,19.1400,0.3911,52.0100,4874.8600,LOSS,-52.0100,10349.9000,2.0000
